date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:45:47	54755/54755	---M--	200	added ('OK')	image/svg+xml	etag:%22d5e3-5af06c49f6bc0%22	https://jthemes.net/themes/html/bolby/demo/images/works/4.svg	/home/kali/websites/cv/jthemes.net/themes/html/bolby/demo/images/works/4.svg	(from https://jthemes.net/themes/html/bolby/demo/index-3-dark.html)
14:45:48	14589/14589	---M--	200	added ('OK')	image/svg+xml	etag:%2238fd-5af06c49f6bc0%22	https://jthemes.net/themes/html/bolby/demo/images/works/5.svg	/home/kali/websites/cv/jthemes.net/themes/html/bolby/demo/images/works/5.svg	(from https://jthemes.net/themes/html/bolby/demo/index-3-dark.html)
14:45:49	17149/17149	---M--	200	added ('OK')	image/svg+xml	etag:%2242fd-5af06c4902980%22	https://jthemes.net/themes/html/bolby/demo/images/works/6.svg	/home/kali/websites/cv/jthemes.net/themes/html/bolby/demo/images/works/6.svg	(from https://jthemes.net/themes/html/bolby/demo/index-3-dark.html)
14:45:50	2066/2066	---M-Z	200	added ('OK')	text/html	etag:%22812-5af06c0ed6040-gzip%22	https://jthemes.net/themes/html/bolby/demo/works-2.html	/home/kali/websites/cv/jthemes.net/themes/html/bolby/demo/works-2.html	(from https://jthemes.net/themes/html/bolby/demo/index-3-dark.html)
14:45:51	7570/7570	---M--	200	added ('OK')	image/svg+xml	etag:%221d92-5af06c34fba40%22	https://jthemes.net/themes/html/bolby/demo/images/price-1.svg	/home/kali/websites/cv/jthemes.net/themes/html/bolby/demo/images/price-1.svg	(from https://jthemes.net/themes/html/bolby/demo/index-3-dark.html)
14:45:52	4044/4044	---M--	200	added ('OK')	image/svg+xml	etag:%22fcc-5af06c3407800%22	https://jthemes.net/themes/html/bolby/demo/images/price-2.svg	/home/kali/websites/cv/jthemes.net/themes/html/bolby/demo/images/price-2.svg	(from https://jthemes.net/themes/html/bolby/demo/index-3-dark.html)
14:45:53	4474/4474	---M--	200	added ('OK')	image/svg+xml	etag:%22117a-5af06c33135c0%22	https://jthemes.net/themes/html/bolby/demo/images/price-3.svg	/home/kali/websites/cv/jthemes.net/themes/html/bolby/demo/images/price-3.svg	(from https://jthemes.net/themes/html/bolby/demo/index-3-dark.html)
14:45:54	25807/25807	---M--	200	added ('OK')	image/svg+xml	etag:%2264cf-5af06c2d5a840%22	https://jthemes.net/themes/html/bolby/demo/images/avatar-3.svg	/home/kali/websites/cv/jthemes.net/themes/html/bolby/demo/images/avatar-3.svg	(from https://jthemes.net/themes/html/bolby/demo/index-3-dark.html)
14:45:55	1571/1571	---M--	200	added ('OK')	image/svg+xml	etag:%22623-5af06c39c0580%22	https://jthemes.net/themes/html/bolby/demo/images/client-1-light.svg	/home/kali/websites/cv/jthemes.net/themes/html/bolby/demo/images/client-1-light.svg	(from https://jthemes.net/themes/html/bolby/demo/index-3-dark.html)
14:45:56	24968/24968	---M--	200	added ('OK')	image/svg+xml	etag:%226188-5af06c2989f40%22	https://jthemes.net/themes/html/bolby/demo/images/client-2-light.svg	/home/kali/websites/cv/jthemes.net/themes/html/bolby/demo/images/client-2-light.svg	(from https://jthemes.net/themes/html/bolby/demo/index-3-dark.html)
14:45:57	3558/3558	---M--	200	added ('OK')	image/svg+xml	etag:%22de6-5af06c2f42cc0%22	https://jthemes.net/themes/html/bolby/demo/images/client-3-light.svg	/home/kali/websites/cv/jthemes.net/themes/html/bolby/demo/images/client-3-light.svg	(from https://jthemes.net/themes/html/bolby/demo/index-3-dark.html)
14:45:58	5288/5288	---M--	200	added ('OK')	image/svg+xml	etag:%2214a8-5af06c27a1ac0%22	https://jthemes.net/themes/html/bolby/demo/images/client-4-light.svg	/home/kali/websites/cv/jthemes.net/themes/html/bolby/demo/images/client-4-light.svg	(from https://jthemes.net/themes/html/bolby/demo/index-3-dark.html)
14:45:59	6464/6464	---M--	200	added ('OK')	image/svg+xml	etag:%221940-5af06c2c66600%22	https://jthemes.net/themes/html/bolby/demo/images/client-5-light.svg	/home/kali/websites/cv/jthemes.net/themes/html/bolby/demo/images/client-5-light.svg	(from https://jthemes.net/themes/html/bolby/demo/index-3-dark.html)
14:46:00	7887/7887	---M--	200	added ('OK')	image/svg+xml	etag:%221ecf-5af06c34fba40%22	https://jthemes.net/themes/html/bolby/demo/images/client-6-light.svg	/home/kali/websites/cv/jthemes.net/themes/html/bolby/demo/images/client-6-light.svg	(from https://jthemes.net/themes/html/bolby/demo/index-3-dark.html)
14:46:01	1431/1431	---M--	200	added ('OK')	image/svg+xml	etag:%22597-5af06c36e3ec0%22	https://jthemes.net/themes/html/bolby/demo/images/client-7-light.svg	/home/kali/websites/cv/jthemes.net/themes/html/bolby/demo/images/client-7-light.svg	(from https://jthemes.net/themes/html/bolby/demo/index-3-dark.html)
